file	url	year	months	day	hours	minutes	seconds	db	frequency	duration
event20230218_143958_79.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_143958_79.jpg width="700" height="400">	2023	02	18	14	39	58	-58.7	2042.8	0.1
event20230218_144726_80.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_144726_80.jpg width="700" height="400">	2023	02	18	14	47	26	-48.2	2047.7	0.5
event20230218_150934_81.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_150934_81.jpg width="700" height="400">	2023	02	18	15	09	34	-45.1	2088.8	0.6
event20230218_151238_82.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_151238_82.jpg width="700" height="400">	2023	02	18	15	12	38	-57.5	2115.9	0.2
event20230218_152011_83.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_152011_83.jpg width="700" height="400">	2023	02	18	15	20	11	-57	2035.6	0.2
event20230218_153511_84.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_153511_84.jpg width="700" height="400">	2023	02	18	15	35	11	-61.6	2038.6	0.1
event20230218_161034_85.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_161034_85.jpg width="700" height="400">	2023	02	18	16	10	34	-61.1	2038.4	0.1
event20230218_173240_86.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_173240_86.jpg width="700" height="400">	2023	02	18	17	32	40	-61.1	2092.3	0.1
event20230218_173903_87.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_173903_87.jpg width="700" height="400">	2023	02	18	17	39	03	-48.6	2054.1	0.2
event20230218_174518_88.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_174518_88.jpg width="700" height="400">	2023	02	18	17	45	18	-56.7	2075.9	0.1
event20230218_183532_89.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_183532_89.jpg width="700" height="400">	2023	02	18	18	35	32	-59.1	2065.8	0.1
event20230218_184705_90.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_184705_90.jpg width="700" height="400">	2023	02	18	18	47	05	-56.8	2064.5	0.2
event20230218_185823_91.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_185823_91.jpg width="700" height="400">	2023	02	18	18	58	23	-52.5	2046.7	0.2
